code,libelle,langue
AGENSC,Agricultural And Environmental Sciences,francais
AGRPAS,Agropastoral,francais
ARCUEC,"Arts And Culture, Education And Communication",francais
ARCUED,"Art et Culture, éducation et communication",francais
COGEDR,"Commerce, Gestion, Droit",francais
EAUENV,Eau Et Environnement,francais
FORM,Formation professionnelle,francais
HEALTH,Health,anglais
HOECTO,"Home Economics, Tourism And Hotel Management",anglais
ICT,Information And Communication Technology,francais
INDTEC,Industrie Et Technologie,francais
INGTEC,Ingineering And Technology,anglais
MABUCA,"Management, Business Studies And Legal Careers",anglais
SANTE,Santé,francais
TIC,Technologie de l'information et communication,francais
TOHOSS,"Tourisme, Hotellerie, Sciences Sociales",francais
