coduti,codfor,typdro
admin,EXP01,O
admin,EXP02,O
admin,EXP03,O
admin,EXP04,O
admin,EXP05,O
admin,EXP06,O
admin,EXP07,O
admin,IMP01,O
admin,IMP02,O
admin,PAR01,O
admin,PAR02,O
admin,PAR03,O
admin,PAR04,O
admin,PAR05,O
admin,PAR06,O
admin,PAR07,O
admin,PAR08,O
admin,PAR09,O
admin,PAR10,O
admin,SEC01,O
admin,SEC02,O
admin,SEC03,O
HSB,EXP01,O
HSB,EXP02,O
raac,EXP01,O
raac,EXP02,O
raac,EXP03,O
raac,EXP04,O
raac,EXP05,O
raac,EXP06,O
raac,EXP07,O
raac,PAR01,O
raac,PAR02,O
raac,PAR03,O
raac,PAR04,O
raac,PAR05,O
raac,PAR06,O
raac,PAR07,O
raac,PAR08,N
raac,PAR09,O
secre,EXP01,O
secre,EXP02,O
secre,EXP03,O
secre,EXP04,O
secre,EXP05,O
secre,EXP06,O
secre,EXP07,O
secre,PAR02,O
secre,PAR03,O
secre,PAR04,O
secre,PAR05,O
secre,PAR06,O
secre,PAR07,O
secre,PAR09,N
